"tier","responseDeadLine","state","naics","psc","setAside","posted","title","agency","solnum","url","noticeId","via","bd_engine_source"
"1","2026-09-16T16:00:00-05:00","ND","236220","Z2AA","Small Business Set Aside - Total","2026-08-20","Ballistic Mitigation","GENERAL SERVICES ADMINISTRATION.PUBLIC BUILDINGS SERVICE.PBS PROJECT DELIVERY WEST - BRANCH C","EQPMBA-26-0363","https://sam.gov/workspace/contract/opp/e9d082d885664bb9b8a8d63f046fdda6/view","e9d082d885664bb9b8a8d63f046fdda6","title","SAM/USASpending CA-scope harvest"
"2","2026-09-10T12:00:00-04:00","GA","339113","8470","Small Business Set Aside - Total","2026-09-09","Ballistic Shields","TREASURY, DEPARTMENT OF THE.INTERNAL REVENUE SERVICE.SPECIAL OPERATIONS","2023H2-26-Q-5000228728","https://sam.gov/workspace/contract/opp/a81f137744df4a74810cf8efa6822116/view","a81f137744df4a74810cf8efa6822116","title","SAM/USASpending CA-scope harvest"
