"bestTier","recipient","awards","totalAmt","states","topNAICS","topAgency","sampleAward","sampleDesc","recipient_id","bd_engine_source"
"2","TERA CONSULTING INC.","1","4410","NY","@{code=339940; description=OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING}","General Services Administration","47QSSC26P1GFJ","OO9146-09 SI BALLISTIC M-FRAME 3.0 BLACK W/CLEAR","41ffebf5-9a58-01fa-c704-c559c103644e-C","SAM/USASpending CA-scope harvest"
"2","PHOTIKON CORP","1","3672","NY","@{code=333313; description=OFFICE MACHINERY MANUFACTURING}","General Services Administration","47QSWA26F1E3G","11-140 SI BALLISTIC M-FRM 2.0 STK BLACK W/GRE SI BALLISTIC M-FRM 2.0","d139c113-aebb-e2be-4fd5-eed05f988161-C","SAM/USASpending CA-scope harvest"
"2","BOTACH INC.","1","3411","NV","@{code=332999; description=ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING}","Department of Defense","W51ADK26M0001","SI BALLISTIC M FRAME 3.0","3bdebddc-dc40-df9d-9498-405ab67ebbb9-C","SAM/USASpending CA-scope harvest"
"2","FOSTER-MILLER, INC.","1","3267","MA","@{code=336413; description=OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING}","Department of Defense","N0038325PH002","PROCUREMENT OF LINER AND COVER, BALLISTIC","32cbfd41-461b-a1fb-a17d-168f7b016996-C","SAM/USASpending CA-scope harvest"
"2","AMERICAN PACKAGING I, INC.","63","2263","NY","@{code=339940; description=OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING}","General Services Administration","47QSSC26P2CRL","BAG, TOOL: OVERALL LENGTH: 12 INCHES OVERALL WIDTH: 6 INCHES OVERALL DEPTH: 6 INCHES DIMENSION TOLERANCE: + 1/2 INCH MATERIAL: BALLISTIC NYLON COLOR: BLACK ENCLOSURE: ZIPPER, CENTER ACROSS TOP LENGTHWISE HANDLES: 2 STRAP CARRY, WRAP ENTIRE SIDE FEATU","8867926c-a452-450d-7183-3e52650d1e97-C","SAM/USASpending CA-scope harvest"
"2","COMBAT MEDICAL SYSTEMS LLC","1","1918","NC","@{code=423450; description=MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS}","Department of Defense","SPE2D425F530V","4569076574!TACTICAL & BALLISTIC KIT (LIGHT SKIN)","8973731f-36cb-67b7-45ca-24b5ccc4156e-C","SAM/USASpending CA-scope harvest"
"2","KIPPER TOOL COMPANY","2","1652","GA","@{code=332216; description=SAW BLADE AND HANDTOOL MANUFACTURING}","General Services Administration","47QSSC25P24HC","BACKPACK, TOOL: WIDTH: 13 INCHES HEIGHT: 17 1/2 INCHES DEPTH: 9 INCHES MATERIAL: BALLISTIC POLYESTER FABRIC FEATURES: 6 ZIPPERED COMPARTMENTS AND 75 POCKETS, SLEEVES AND LOOPS; 7 INCHES X 5 INCHES MULTI-COMPARTMENT PLASTIC PARTS TRAY; ADJUSTABLE PADD","6656e93e-6d6d-8923-8d67-2d99a3676915-C","SAM/USASpending CA-scope harvest"
"2","LYEV, LLC","10","927","MI","@{code=332216; description=SAW BLADE AND HANDTOOL MANUFACTURING}","General Services Administration","47QSSC26P2QHV","BAG, TOOL: OVERALL LENGTH: 12 INCHES OVERALL WIDTH: 6 INCHES OVERALL DEPTH: 6 INCHES DIMENSION TOLERANCE: + 1/2 INCH MATERIAL: BALLISTIC NYLON COLOR: BLACK ENCLOSURE: ZIPPER, CENTER ACROSS TOP LENGTHWISE HANDLES: 2 STRAP CARRY, WRAP ENTIRE SIDE FEATU","9543e761-c001-5a67-adcd-314eeecb8f28-C","SAM/USASpending CA-scope harvest"
"2","TECH SERVICE SOLUTIONS LLC","1","0","NJ","@{code=332311; description=PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING}","Department of Defense","FA448425P0034","FY25 BALLISTIC PANELS","33d8b324-0ca5-2c7a-c457-c7a626a9cff2-C","SAM/USASpending CA-scope harvest"
"2","GENERAL DYNAMICS LAND SYSTEMS - CANADA CORPORATION","1","0","","@{code=336360; description=MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING}","Department of Defense","SPE7L126P0317","8511638896!GRILLE,BALLISTIC","39f7bba0-4eac-e344-b92e-df34fc9fe261-C","SAM/USASpending CA-scope harvest"
"2","CRESTVIEW AEROSPACE LLC","5","0","FL","@{code=336413; description=OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING}","Department of Defense","SPE4A224F0466","8510218609!FOAM,BALLISTIC,PRES","d3481034-06fd-e4cd-cfc1-5ecc340f2ea3-C","SAM/USASpending CA-scope harvest"
"2","757680 ONTARIO LTD.","1","0","","@{code=332999; description=ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING}","Department of Defense","SPE7L024P1992","8510783461!BALLISTIC COVER WEL","941dcf52-4da5-2f38-dedd-42db8381071f-C","SAM/USASpending CA-scope harvest"
