id,name,domain,fit_score,reason
"341104719550","Smith Hafeli","smith-hafeli.com","52","MANUAL: no diversity/SBLO page found"
"341109822149","Matos Builders, LLC","matosbuilders.com","52","MANUAL: 40s crawl ceiling hit (TIMEOUT: company matosbuilders.com exceeded 40000ms)"
"325540515542","Dean Snyder Construction","deansnyder.com","51","MANUAL: no diversity/SBLO page found"
"326320314094","RICHARD GROUP LLC","richardgroup.com","51","MANUAL: no diversity/SBLO page found"
"329997047519","DonahueFavret Contractors","donahuefavret.com","51","MANUAL: no diversity/SBLO page found"
"331793543889","SYNCON","synconllc.com","51","MANUAL: no diversity/SBLO page found"
"331820135114","FedVet Construction","fedvet.com","51","MANUAL: no diversity/SBLO page found"
"331842687689","Muter Construction","muterconstruction.com","51","MANUAL: no diversity/SBLO page found"
"331863710440","MATT Construction","mattconstruction.com","51","MANUAL: no diversity/SBLO page found"
"332341273317","MFS Construction","mfsconstruction.com","51","MANUAL: no diversity/SBLO page found"
"335504339648","Place Services, Inc. - Federal Division","placeservicesinc.com","51","MANUAL: no diversity/SBLO page found"
"337019640558","The Trevino Group","trevinogroup.com","51","MANUAL: no diversity/SBLO page found"
"346240508605","Market & Johnson","market-johnson.com","51","MANUAL: no diversity/SBLO page found"
"326199631607","Mark Guho Construction","mguho.com","50","MANUAL: no diversity/SBLO page found"
"332343071453","Hightower Construction","hightowerconstruction.com","50","MANUAL: no diversity/SBLO page found"
"346178065114","JP Cullen","jpcullen.com","50","MANUAL: no diversity/SBLO page found"
"346279279304","Mashburn Construction Company","mashburnconstruction.com","50","MANUAL: no diversity/SBLO page found"
"324960589550","Midwest Select Contracting","midwestselectcontracting.com","49","MANUAL: no diversity/SBLO page found"
"325414735586","Aspen Construction","aspen-construction.com","49","MANUAL: no diversity/SBLO page found"
"331838815936","VCC","vccusa.com","49","MANUAL: no diversity/SBLO page found"
"334396442333","Omega Construction","omegaconstruction.com","49","MANUAL: no diversity/SBLO page found"
"346282899187","Golden Triangle Construction","gtc1.net","49","MANUAL: no diversity/SBLO page found"
"346332894922","Vannoy Construction","vannoyconstruction.com","49","MANUAL: 40s crawl ceiling hit (TIMEOUT: company vannoyconstruction.com exceeded 40000ms)"
"326167169774","HEALTHEON, INC","healtheoninc.com","48","MANUAL: no diversity/SBLO page found"
"326168114924","CAPEX CONSTRUCTION LLC","capex.com","48","MANUAL: no diversity/SBLO page found"
"326221130448","HC Company","hcco-inc.com","48","MANUAL: no diversity/SBLO page found"
"330381245146","FEDERAL CONSTRUCTORS, INC.","federalconstructors.com","48","MANUAL: no diversity/SBLO page found"
